movie,city_name,cinema_date,cinema_name,cinema_url,cinema_address,hall,lang,begin_time,all_seats,selectable_seat,sold_seat,occupancy_rate,url
八角笼中,北京,2023-07-27,CGV星星影城（颐堤港ScreenX店）,https://www.maoyan.com/cinema/8?poi=1466992,地址：朝阳区酒仙桥路18号颐堤港4层（将台地铁站）,BOBO按摩椅5厅,中文2D,21:35,129,81,48,37.21%,https://www.maoyan.com/xseats/202307270485698?movieId=1413252&cinemaId=8
八角笼中,北京,2023-07-27,K酷国际影城,https://www.maoyan.com/cinema/21?poi=796845,地址：朝阳区北苑路42号卜峰莲花超市4楼（K酷时尚广场）,1号厅,国语2D,12:50,77,77,0,0.00%,https://www.maoyan.com/xseats/202307270617287?movieId=1413252&cinemaId=21
八角笼中,北京,2023-07-27,CGV影城（顺义ScreenX店）,https://www.maoyan.com/cinema/8111?poi=6448554,地址：顺义区新顺南大街8号华联购物中心4层,6厅,中文2D,22:25,143,86,57,39.86%,https://www.maoyan.com/xseats/202307270437881?movieId=1413252&cinemaId=8111
八角笼中,北京,2023-07-27,IDA传奇全激光影城（怀柔店）,https://www.maoyan.com/cinema/55?poi=3260663,地址：怀柔区青春路15号四层,4号VIP激光厅,国语2D,22:25,57,57,0,0.00%,https://www.maoyan.com/xseats/202307270416352?movieId=1413252&cinemaId=55
八角笼中,北京,2023-07-27,K酷国际影城,https://www.maoyan.com/cinema/21?poi=796845,地址：朝阳区北苑路42号卜峰莲花超市4楼（K酷时尚广场）,4号厅,国语2D,10:00,101,97,4,3.96%,https://www.maoyan.com/xseats/202307270617285?movieId=1413252&cinemaId=21
八角笼中,北京,2023-07-27,CGV影城（顺义ScreenX店）,https://www.maoyan.com/cinema/8111?poi=6448554,地址：顺义区新顺南大街8号华联购物中心4层,3厅,中文2D,21:10,100,64,36,36.00%,https://www.maoyan.com/xseats/202307270483846?movieId=1413252&cinemaId=8111
八角笼中,北京,2023-07-27,CGV影城（顺义ScreenX店）,https://www.maoyan.com/cinema/8111?poi=6448554,地址：顺义区新顺南大街8号华联购物中心4层,BOBO按摩椅激光5厅(扫码付费按摩,中文2D,18:20,145,88,57,39.31%,https://www.maoyan.com/xseats/202307270607036?movieId=1413252&cinemaId=8111
八角笼中,北京,2023-07-27,CGV影城（顺义ScreenX店）,https://www.maoyan.com/cinema/8111?poi=6448554,地址：顺义区新顺南大街8号华联购物中心4层,3厅,中文2D,12:30,100,64,36,36.00%,https://www.maoyan.com/xseats/202307270483847?movieId=1413252&cinemaId=8111
八角笼中,北京,2023-07-27,CGV影城（顺义ScreenX店）,https://www.maoyan.com/cinema/8111?poi=6448554,地址：顺义区新顺南大街8号华联购物中心4层,3厅,中文2D,10:10,100,64,36,36.00%,https://www.maoyan.com/xseats/202307270483848?movieId=1413252&cinemaId=8111
八角笼中,北京,2023-07-27,万达影城（丰台万达广场杜比影院店）,https://www.maoyan.com/cinema/16655?poi=122443680,地址：丰台区丰科路与五圈路交汇处万达广场F6层（地铁9号线丰台科技园站C口）,9号厅,国语2D,23:40,172,50,122,70.93%,https://www.maoyan.com/xseats/202307270725621?movieId=1413252&cinemaId=16655
八角笼中,北京,2023-07-27,万达影城（丰台万达广场杜比影院店）,https://www.maoyan.com/cinema/16655?poi=122443680,地址：丰台区丰科路与五圈路交汇处万达广场F6层（地铁9号线丰台科技园站C口）,5号厅,国语2D,19:10,98,31,67,68.37%,https://www.maoyan.com/xseats/202307270725618?movieId=1413252&cinemaId=16655
八角笼中,北京,2023-07-27,万达影城（丰台万达广场杜比影院店）,https://www.maoyan.com/cinema/16655?poi=122443680,地址：丰台区丰科路与五圈路交汇处万达广场F6层（地铁9号线丰台科技园站C口）,5号厅,国语2D,16:50,98,31,67,68.37%,https://www.maoyan.com/xseats/202307270725617?movieId=1413252&cinemaId=16655
八角笼中,北京,2023-07-27,万达影城（丰台万达广场杜比影院店）,https://www.maoyan.com/cinema/16655?poi=122443680,地址：丰台区丰科路与五圈路交汇处万达广场F6层（地铁9号线丰台科技园站C口）,9号厅,国语2D,21:25,172,50,122,70.93%,https://www.maoyan.com/xseats/202307270725619?movieId=1413252&cinemaId=16655
八角笼中,北京,2023-07-27,万达影城（乐多港万达广场PRIME店）,https://www.maoyan.com/cinema/36295?poi=693938016,地址：昌平区城南街道南口路29号乐多港万达广场室内3F-A,5号厅,国语2D,23:40,202,62,140,69.31%,https://www.maoyan.com/xseats/202307270490834?movieId=1413252&cinemaId=36295
八角笼中,北京,2023-07-27,CGV影城（清河IMAX店）,https://www.maoyan.com/cinema/5111?poi=2374984,地址：海淀区清河街道清河中街68号清河万象汇东区7层,激光7厅,中文2D,21:40,153,97,56,36.60%,https://www.maoyan.com/xseats/202307270680077?movieId=1413252&cinemaId=5111
八角笼中,北京,2023-07-27,UME影城（安贞DTS:X店）,https://www.maoyan.com/cinema/99?poi=94496,地址：东城区北三环东路36号环球贸易中心E座B1层,负一层6厅-儿童需购票（建议自备或购买3D眼镜）,国语2D,12:20,145,13,132,91.03%,https://www.maoyan.com/xseats/202307270732845?movieId=1413252&cinemaId=99
八角笼中,北京,2023-07-27,万达影城（丰台万达广场杜比影院店）,https://www.maoyan.com/cinema/16655?poi=122443680,地址：丰台区丰科路与五圈路交汇处万达广场F6层（地铁9号线丰台科技园站C口）,9号厅,国语2D,09:40,172,50,122,70.93%,https://www.maoyan.com/xseats/202307270725620?movieId=1413252&cinemaId=16655
八角笼中,北京,2023-07-27,UME影城（安贞DTS:X店）,https://www.maoyan.com/cinema/99?poi=94496,地址：东城区北三环东路36号环球贸易中心E座B1层,负一层6厅-儿童需购票（建议自备或购买3D眼镜）,国语2D,21:40,145,13,132,91.03%,https://www.maoyan.com/xseats/202307270732844?movieId=1413252&cinemaId=99
八角笼中,北京,2023-07-27,万达影城（乐多港万达广场PRIME店）,https://www.maoyan.com/cinema/36295?poi=693938016,地址：昌平区城南街道南口路29号乐多港万达广场室内3F-A,5号厅,国语2D,21:30,202,62,140,69.31%,https://www.maoyan.com/xseats/202307270490835?movieId=1413252&cinemaId=36295
八角笼中,北京,2023-07-27,CGV影城（天宫院凯德4DX店）,https://www.maoyan.com/cinema/26314?poi=189992899,地址：大兴区华佗路与新源大街交叉口凯德MALL6F,巨幕SPHEREX4厅,中文2D,22:25,212,141,71,33.49%,https://www.maoyan.com/xseats/202307270404752?movieId=1413252&cinemaId=26314
八角笼中,北京,2023-07-27,万达影城（丰台万达广场杜比影院店）,https://www.maoyan.com/cinema/16655?poi=122443680,地址：丰台区丰科路与五圈路交汇处万达广场F6层（地铁9号线丰台科技园站C口）,9号厅,国语2D,11:55,172,50,122,70.93%,https://www.maoyan.com/xseats/202307270725622?movieId=1413252&cinemaId=16655
八角笼中,北京,2023-07-27,UME影城（安贞DTS:X店）,https://www.maoyan.com/cinema/99?poi=94496,地址：东城区北三环东路36号环球贸易中心E座B1层,负一层6厅-儿童需购票（建议自备或购买3D眼镜）,国语2D,10:05,145,13,132,91.03%,https://www.maoyan.com/xseats/202307270732846?movieId=1413252&cinemaId=99
八角笼中,北京,2023-07-27,CGV影城（清河IMAX店）,https://www.maoyan.com/cinema/5111?poi=2374984,地址：海淀区清河街道清河中街68号清河万象汇东区7层,SCREENX 1厅（儿童需购票),中文2D,10:45,219,137,82,37.44%,https://www.maoyan.com/xseats/202307270450797?movieId=1413252&cinemaId=5111
八角笼中,北京,2023-07-27,CGV影城（天宫院凯德4DX店）,https://www.maoyan.com/cinema/26314?poi=189992899,地址：大兴区华佗路与新源大街交叉口凯德MALL6F,2厅,中文2D,21:40,165,100,65,39.39%,https://www.maoyan.com/xseats/202307270404751?movieId=1413252&cinemaId=26314
八角笼中,北京,2023-07-27,UME影城（双井CINITY巨幕店）,https://www.maoyan.com/cinema/135?poi=291070,地址：朝阳区双井街道东东三环中路辅路65号VIVA北京富力广场F6层1-9号厅、F4层10号巨幕厅,六层9号激光厅-儿童需购票（部分按摩座椅）,国语2D,10:00,125,0,125,100.00%,https://www.maoyan.com/xseats/202307270780635?movieId=1413252&cinemaId=135
八角笼中,北京,2023-07-27,CGV影城（亦庄店）,https://www.maoyan.com/cinema/16152?poi=105355906,地址：大兴区荣华街道大族广场S3三层,SWEETBOX 5厅(儿童需购票),中文2D,17:55,28,26,2,7.14%,https://www.maoyan.com/xseats/202307270478879?movieId=1413252&cinemaId=16152
八角笼中,北京,2023-07-27,万象影城（北京西三旗万象汇杜比巨幕店）,https://www.maoyan.com/cinema/38787?poi=1175880561,地址：海淀区建材城东路33号院1号楼7层L708,2号激光厅,国语2D,19:10,112,80,32,28.57%,https://www.maoyan.com/xseats/202307270621334?movieId=1413252&cinemaId=38787
八角笼中,北京,2023-07-27,CGV影城（亦庄店）,https://www.maoyan.com/cinema/16152?poi=105355906,地址：大兴区荣华街道大族广场S3三层,激光7厅,中文2D,21:50,182,107,75,41.21%,https://www.maoyan.com/xseats/202307270401375?movieId=1413252&cinemaId=16152
八角笼中,北京,2023-07-27,万象影城（北京西三旗万象汇杜比巨幕店）,https://www.maoyan.com/cinema/38787?poi=1175880561,地址：海淀区建材城东路33号院1号楼7层L708,2号激光厅,国语2D,10:00,112,82,30,26.79%,https://www.maoyan.com/xseats/202307270621335?movieId=1413252&cinemaId=38787
八角笼中,北京,2023-07-27,万象影城（北京西三旗万象汇杜比巨幕店）,https://www.maoyan.com/cinema/38787?poi=1175880561,地址：海淀区建材城东路33号院1号楼7层L708,2号激光厅,国语2D,14:35,112,79,33,29.46%,https://www.maoyan.com/xseats/202307270621333?movieId=1413252&cinemaId=38787
八角笼中,北京,2023-07-27,万画影城（四季青店）,https://www.maoyan.com/cinema/13054?poi=41066531,地址：海淀区西四环北路金四季购物中心中段三层B003,1号厅（扫码免1小时停车）,国语2D,17:15,99,99,0,0.00%,https://www.maoyan.com/xseats/202307270416853?movieId=1413252&cinemaId=13054
八角笼中,北京,2023-07-27,万画影城（四季青店）,https://www.maoyan.com/cinema/13054?poi=41066531,地址：海淀区西四环北路金四季购物中心中段三层B003,1号厅（扫码免1小时停车）,国语2D,14:55,99,99,0,0.00%,https://www.maoyan.com/xseats/202307270416858?movieId=1413252&cinemaId=13054
八角笼中,北京,2023-07-27,万画影城（四季青店）,https://www.maoyan.com/cinema/13054?poi=41066531,地址：海淀区西四环北路金四季购物中心中段三层B003,1号厅（扫码免1小时停车）,国语2D,12:35,99,96,3,3.03%,https://www.maoyan.com/xseats/202307270416852?movieId=1413252&cinemaId=13054
八角笼中,北京,2023-07-27,万画影城 （国投财富广场店）,https://www.maoyan.com/cinema/35745?poi=838686599,地址：丰台区北京西站南路与莲花池南路交叉路口往东北约150米国投财富广场9号楼底下一层,4号激光厅（凭停车票 免费停车3小时）,国语2D,10:20,76,20,56,73.68%,https://www.maoyan.com/xseats/202307270416322?movieId=1413252&cinemaId=35745
八角笼中,北京,2023-07-27,万象影城（北京丽泽天街杜比影院）,https://www.maoyan.com/cinema/36774?poi=1304407136,地址：丰台区丽泽天街4层,2号激光厅,国语2D,14:40,111,37,74,66.67%,https://www.maoyan.com/xseats/202307270620625?movieId=1413252&cinemaId=36774
八角笼中,北京,2023-07-27,万画影城 （国投财富广场店）,https://www.maoyan.com/cinema/35745?poi=838686599,地址：丰台区北京西站南路与莲花池南路交叉路口往东北约150米国投财富广场9号楼底下一层,4号激光厅（凭停车票 免费停车3小时）,国语2D,15:00,76,20,56,73.68%,https://www.maoyan.com/xseats/202307270416320?movieId=1413252&cinemaId=35745
八角笼中,北京,2023-07-27,万象影城（北京丽泽天街杜比影院）,https://www.maoyan.com/cinema/36774?poi=1304407136,地址：丰台区丽泽天街4层,2号激光厅,国语2D,19:15,111,37,74,66.67%,https://www.maoyan.com/xseats/202307270620626?movieId=1413252&cinemaId=36774
八角笼中,北京,2023-07-27,万画影城（田村店）,https://www.maoyan.com/cinema/16821?poi=97764971,地址：海淀区田村路43号京粮广场二层北侧,3号厅,国语2D,19:20,89,89,0,0.00%,https://www.maoyan.com/xseats/202307270417192?movieId=1413252&cinemaId=16821
八角笼中,北京,2023-07-27,万画影城 （国投财富广场店）,https://www.maoyan.com/cinema/35745?poi=838686599,地址：丰台区北京西站南路与莲花池南路交叉路口往东北约150米国投财富广场9号楼底下一层,4号激光厅（凭停车票 免费停车3小时）,国语2D,12:40,76,20,56,73.68%,https://www.maoyan.com/xseats/202307270416324?movieId=1413252&cinemaId=35745
八角笼中,北京,2023-07-27,万画影城（田村店）,https://www.maoyan.com/cinema/16821?poi=97764971,地址：海淀区田村路43号京粮广场二层北侧,3号厅,国语2D,21:35,89,89,0,0.00%,https://www.maoyan.com/xseats/202307270417188?movieId=1413252&cinemaId=16821
八角笼中,北京,2023-07-27,万画影城（田村店）,https://www.maoyan.com/cinema/16821?poi=97764971,地址：海淀区田村路43号京粮广场二层北侧,3号厅,国语2D,17:05,89,89,0,0.00%,https://www.maoyan.com/xseats/202307270417191?movieId=1413252&cinemaId=16821
八角笼中,北京,2023-07-27,万画影城（田村店）,https://www.maoyan.com/cinema/16821?poi=97764971,地址：海淀区田村路43号京粮广场二层北侧,3号厅,国语2D,10:15,89,89,0,0.00%,https://www.maoyan.com/xseats/202307270417187?movieId=1413252&cinemaId=16821
八角笼中,北京,2023-07-27,万达影城（乐多港万达广场PRIME店）,https://www.maoyan.com/cinema/36295?poi=693938016,地址：昌平区城南街道南口路29号乐多港万达广场室内3F-A,3号厅,国语2D,11:05,36,36,0,0.00%,https://www.maoyan.com/xseats/202307270773157?movieId=1413252&cinemaId=36295
八角笼中,北京,2023-07-27,万画影城（田村店）,https://www.maoyan.com/cinema/16821?poi=97764971,地址：海淀区田村路43号京粮广场二层北侧,3号厅,国语2D,14:50,89,83,6,6.74%,https://www.maoyan.com/xseats/202307270417189?movieId=1413252&cinemaId=16821
八角笼中,北京,2023-07-27,万画影城（田村店）,https://www.maoyan.com/cinema/16821?poi=97764971,地址：海淀区田村路43号京粮广场二层北侧,3号厅,国语2D,12:30,89,87,2,2.25%,https://www.maoyan.com/xseats/202307270417190?movieId=1413252&cinemaId=16821
